subcategory,gpo_path,steps,event_ids,reference_url
Audit Network Policy Server,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon/Logoff\Audit Network Policy Server,Event Viewer > navigate to the GPO path > select 'Configure the following audit event': Success and Failure.,"6272, 6273, 6274, 6275, 6276, 6277, 6278, 6279, 6280",
Audit Other Logon/Logoff Events,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon/Logoff\Audit other logon/logoff events,Event Viewer > navigate to the GPO path > select 'Configure the following audit event': Success and Failure.,"4649, 4778, 4779, 4800, 4801, 4802, 4803, 5378, 5632, 5633",https://docs.microsoft.com/en-us/windows/device-security/auditing/audit-other-logonlogoff-events
Audit Special Logon,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon/Logoff\Audit Special Logon,Event Viewer > navigate to the GPO path > select 'Configure the following audit event': Success and Failure.,4964,https://docs.microsoft.com/en-us/windows/device-security/auditing/audit-special-logon
Audit Non-Sensitive Privilege Use,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Privilege Use\Audit Non-Sensitive Privilege Use,Event Viewer > navigate to the GPO path > select 'Configure the following audit event': Success and Failure.,"4672, 4673, 4674",
Audit Sensitive Privilege Use,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Privilege Use\Audit Sensitive Privilege Use,Event Viewer > navigate to the GPO path > select 'Configure the following audit event': Success and Failure.,"4672, 4673, 4674",
Audit PNP Activity,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Detailed Tracking\Audit PNP Activity,Event Viewer > navigate to the GPO path > select 'Configure the following audit event': Success and Failure.,"6416, 6419, 6420, 6421, 6422, 6423, 6424",https://docs.microsoft.com/en-us/windows/device-security/auditing/audit-pnp-activity
Audit Process Creation,Advanced Security Audit Policy Settings\Detailed Tracking\Audit Process Creation,Enable the subcategory at the GPO path (Success).,"4688, 4696",
Audit Process Termination,Advanced Security Audit Policy Settings\Detailed Tracking\Audit Process Termination,Enable the subcategory at the GPO path (Success).,4689,
Audit Certification Services,Advanced Security Audit Policy Settings\Object Access\Audit Certification Services,Enable the subcategory at the GPO path (Success and Failure).,"4868, 4869, 4870, 4871, 4872, 4873, 4874, 4875, 4876, 4877, 4878, 4879, 4880, 4881, 4882, 4883, 4884, 4885, 4886, 4887, 4888, 4889, 4890, 4891, 4892, 4893, 4894, 4895, 4896, 4897, 4898",
Audit Removable Storage,Computer Configuration\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Removable Storage,"Sign in to the domain controller as a domain administrator. In Server Manager, go to Tools > Group Policy Management. In the console tree, right-click the relevant GPO and click Edit. Navigate to Computer Configuration > Security Settings > Advanced Audit Policy Configuration > Object Access > Audit Removable Storage. Check 'Configure the following audit events', check Success (and Failure if desired), click OK. If Failure was selected, also double-click Audit Handle Manipulation, check 'Configure the following audit events', and select Failure. Click OK and close the Group Policy Management Editor.","2003, 2004, 2005, 2010, 2100, 2105, 2106, 4656, 4663",
Printer auditing,Printer Properties > Security tab > Advanced > Auditing tab (per-printer object ACL auditing) + Microsoft-Windows-PrinterService/Operational log,"For print job names in the log, download and install KB2919355. Per-printer object auditing: open Printer Properties > Security tab > Advanced > Auditing tab > Add > select Principal > select Group > select Type and permissions > OK. Enable the log channel: Event Viewer > Applications and Services Logs > Microsoft > Windows > PrintService > Operational > right-click > Enable Log.","307, 800, 802, 805",
NTLM auditing,Computer Configuration > Windows Settings > Security Settings > Local Policies > Security Options > Network security: Restrict NTLM (audit/block settings),"See vendor references for enabling NTLM auditing events (event IDs 8001-8004, 4776) via the 'Network security: Restrict NTLM' group policy settings.",4776,https://technet.microsoft.com/en-au/library/jj865682%28v=ws.10%29.aspx?f=255&MSPPError=-2147217396; https://blogs.technet.microsoft.com/askds/2009/10/08/ntlm-blocking-and-you-application-analysis-and-auditing-methodologies-in-windows-7/
Netlogon debug logging,"HKLM\SYSTEM\CurrentControlSet\Services\NetLogon\Parameters (DBFlag, MaximumLogFileSize) - not a Windows Event Log, writes to %windir%\debug\netlogon.log","Enable: open an administrative Command Prompt. Set the debug mask: 'Nltest /DBFlag:2080FFFF' (or 'reg add ""\\$computerName\HKLM\SYSTEM\CurrentControlSet\Services\NetLogon\Parameters"" /v DBFlag /t REG_DWORD /d 0x2080ffdf /f'). Optionally set max log size: 'reg add ""...\Parameters"" /v MaximumLogFileSize /t REG_DWORD /d 100000000 /f'. Restart the service: 'net stop netlogon' then 'net start netlogon' (or 'sc.exe \\$computerName stop/start netlogon'). Disable: 'Nltest /DBFlag:0x0' (restart not usually required to stop new logging).",,https://support.microsoft.com/en-us/help/109626/enabling-debug-logging-for-the-netlogon-service
