platform,area,resource_type,category,description,severity_notes,config_location,cim_mapping,nist_800_53_au,windows_equivalent
Entra ID,Microsoft Entra ID,Tenant,RiskyUsers,Users flagged by Identity Protection as at elevated risk.,High - P2,Entra admin center -> Monitoring & health -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Entra ID,Microsoft Entra ID,Tenant,RiskyServicePrincipals,Workload identities (service principals) flagged as risky.,High - P2,Entra admin center -> Monitoring & health -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Entra ID,Microsoft Entra ID,Tenant,UserRiskEvents,"Detailed risk detections for users (leaked credentials, impossible travel, anomalous token, etc.).",High - P2,Entra admin center -> Monitoring & health -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Entra ID,Microsoft Entra ID,Tenant,ServicePrincipalRiskEvents,Detailed risk detections for service principals.,High - P2,Entra admin center -> Monitoring & health -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Entra ID,Microsoft Entra ID,Tenant,MicrosoftGraphActivityLogs,Every Microsoft Graph API call made against the tenant.,High - P1/P2 opt-in,Entra admin center -> Monitoring & health -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Entra ID,Microsoft Entra ID,Tenant,CustomSecurityAttributeAuditLogs,Changes to custom security attributes assigned to directory objects.,Medium - requires Attribute Log Administrator role,Entra admin center -> Monitoring & health -> Diagnostic settings (Custom section),Change.Account_Management,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.KeyVault/vaults,AuditEvent,"Key Vault audit events -- secret, key, and certificate data-plane operations.",Critical,Resource -> Monitoring -> Diagnostic settings,Change,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.KeyVault/vaults,AzurePolicyEvaluationDetails,Azure Policy evaluation details for the vault.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Storage/storageAccounts,StorageRead,"Read operations on blobs, files, queues, and tables.",High volume,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Storage/storageAccounts,StorageWrite,"Write operations on blobs, files, queues, and tables.",High volume,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Storage/storageAccounts,StorageDelete,"Delete operations on blobs, files, queues, and tables.",High volume,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Storage/storageAccounts,Transaction,Transaction metrics and details.,High volume,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Sql/servers/databases,SQLInsights,SQL performance and insight data.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Sql/servers/databases,AutomaticTuning,Automatic tuning recommendations and actions.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Sql/servers/databases,QueryStoreRuntimeStatistics,Query Store runtime statistics.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Sql/servers/databases,QueryStoreWaitStatistics,Query Store wait statistics.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Sql/servers/databases,Errors,SQL error logs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Sql/servers/databases,Blocks,Blocking information.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Sql/servers/databases,Timeouts,Timeout events.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Sql/servers/databases,DatabaseWaitStatistics,Database wait statistics.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.ContainerService/managedClusters,kube-apiserver,Kubernetes API server logs.,Critical - High volume,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.ContainerService/managedClusters,kube-audit,Kubernetes audit logs.,Critical - High volume,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.ContainerService/managedClusters,kube-audit-admin,Kubernetes audit logs (admin operations).,Critical,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.ContainerService/managedClusters,kube-controller-manager,Controller manager logs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.ContainerService/managedClusters,kube-scheduler,Scheduler logs.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.ContainerService/managedClusters,cluster-autoscaler,Cluster autoscaler logs.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.ContainerService/managedClusters,guard,Azure Policy for AKS (Gatekeeper) logs.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.ContainerService/managedClusters,csi-azuredisk-controller,Azure Disk CSI driver logs.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.ContainerService/managedClusters,csi-azurefile-controller,Azure File CSI driver logs.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Web/sites,AppServiceHTTPLogs,Incoming HTTP request logs.,High volume,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Web/sites,AppServiceConsoleLogs,Console / stdout logs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Web/sites,AppServiceAppLogs,Application logs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Web/sites,AppServiceAuditLogs,Publishing protocol audit logs.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Web/sites,AppServicePlatformLogs,App Service platform logs.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Web/sites,AppServiceIPSecAuditLogs,IP restriction audit logs.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Web/sites,FunctionAppLogs,Function App host and code logs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Network/applicationGateways,ApplicationGatewayAccessLog,Access logs.,High volume,Resource -> Monitoring -> Diagnostic settings,Network_Traffic,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Network/applicationGateways,ApplicationGatewayPerformanceLog,Performance logs.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Network/applicationGateways,ApplicationGatewayFirewallLog,WAF (Web Application Firewall) logs.,Critical,Resource -> Monitoring -> Diagnostic settings,Network_Traffic,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Network/azureFirewalls,AzureFirewallApplicationRule,Application rule hit logs.,High volume,Resource -> Monitoring -> Diagnostic settings,Network_Traffic,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Network/azureFirewalls,AzureFirewallNetworkRule,Network rule hit logs.,High volume,Resource -> Monitoring -> Diagnostic settings,Network_Traffic,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Network/azureFirewalls,AzureFirewallDnsProxy,DNS proxy logs.,Medium,Resource -> Monitoring -> Diagnostic settings,Network_Resolution,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Network/azureFirewalls,AZFW* tables,"Additional advanced Firewall tables (AZFWThreatIntel, AZFWIdpsSignature, and others).",High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.DocumentDB/databaseAccounts,DataPlaneRequests,Data plane request logs.,High volume,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.DocumentDB/databaseAccounts,MongoRequests,MongoDB API request logs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.DocumentDB/databaseAccounts,QueryRuntimeStatistics,Query runtime statistics.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.DocumentDB/databaseAccounts,PartitionKeyStatistics,Partition key statistics.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.DocumentDB/databaseAccounts,ControlPlaneRequests,Control plane operations.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.DocumentDB/databaseAccounts,GremlinRequests / CassandraRequests / TableApiRequests,"API-specific request logs for the Gremlin, Cassandra, and Table APIs.",Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.ContainerRegistry/registries,ContainerRegistryRepositoryEvents,Repository push / pull / delete events.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.ContainerRegistry/registries,ContainerRegistryLoginEvents,Login events.,High,Resource -> Monitoring -> Diagnostic settings,Authentication,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Cache/redis,ConnectedClientList,Connected clients list.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.ApiManagement/service,GatewayLogs,API gateway request / response logs.,High volume,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.ApiManagement/service,WebSocketConnectionLogs,WebSocket connection logs.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.ApiManagement/service,DeveloperPortalAuditLogs,Developer portal audit logs.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Automation/automationAccounts,JobLogs,Runbook job logs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Automation/automationAccounts,JobStreams,Job output streams (stdout/stderr).,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Automation/automationAccounts,DscNodeStatus,DSC node status logs.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Automation/automationAccounts,AuditEvent,Automation account audit events.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.AAD/domainServices,AccountLogon,Account logon events.,High,Resource -> Monitoring -> Diagnostic settings,Authentication,"AU-2, AU-3, AU-12",4624
Azure,Azure Resource Logs,Microsoft.AAD/domainServices,AccountManagement,Account management events.,High,Resource -> Monitoring -> Diagnostic settings,Change.Account_Management,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.AAD/domainServices,DirectoryServiceAccess,Directory service access.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.AAD/domainServices,LogonLogoff,Logon / logoff events.,High,Resource -> Monitoring -> Diagnostic settings,Authentication,"AU-2, AU-3, AU-12",4624
Azure,Azure Resource Logs,Microsoft.AAD/domainServices,PolicyChange,Policy change events.,Medium,Resource -> Monitoring -> Diagnostic settings,Change.Auditing_Changes,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.AAD/domainServices,PrivilegeUse / SystemSecurity,Privilege use and system security events.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Network/networkSecurityGroups,NetworkSecurityGroupEvent,NSG (rule allow/deny) event logs.,Medium,Resource -> Monitoring -> Diagnostic settings,Network_Traffic,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Network/networkSecurityGroups,NetworkSecurityGroupRuleCounter,NSG rule hit-counter logs.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Insights/components,Requests,Application Insights request telemetry.,High volume,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Insights/components,Dependencies,Application Insights dependency-call telemetry.,High volume,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Insights/components,Exceptions,Application Insights exception telemetry.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Insights/components,Traces,Application Insights trace telemetry.,High volume,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Insights/components,PageViews,Page view telemetry.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Insights/components,CustomEvents,Custom event telemetry.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Insights/components,AvailabilityResults,Synthetic availability test results.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Category Group (any resource),allLogs,Collects every available log category for the resource in one Diagnostic Settings entry.,Recommended for full coverage,Resource or Azure Policy -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Category Group (any resource),audit,"Collects only the audit-related categories for the resource, for lower ingestion cost than allLogs.",Recommended for cost control,Resource or Azure Policy -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.EventHub/namespaces,OperationalLogs,Operational / management logs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.EventHub/namespaces,RuntimeAuditLogs,Runtime audit logs (data plane) -- may incur additional cost.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.EventHub/namespaces,VNetAndIPFilteringLogs / ApplicationMetricsLogs,VNet/IP filtering and application metrics logs.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.EventHub/namespaces,DiagnosticErrorLogs,Diagnostic error logs -- may incur additional cost.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.ServiceBus/namespaces,OperationalLogs,Operational logs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.ServiceBus/namespaces,RuntimeAuditLogs,Runtime audit logs -- may incur additional cost.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.ServiceBus/namespaces,VNetAndIPFilteringLogs,VNet and IP filtering connection logs.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.ServiceBus/namespaces,DiagnosticErrorLogs,Diagnostic error logs.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.DataFactory/factories,ActivityRuns,Pipeline activity run logs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.DataFactory/factories,PipelineRuns,Pipeline run logs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.DataFactory/factories,TriggerRuns,Trigger run logs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.DataFactory/factories,SSISIntegrationRuntimeLogs,SSIS Integration Runtime logs.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.DataFactory/factories,SSISPackageEventMessages,SSIS package event messages.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Synapse/workspaces,SQLSecurityAuditEvents,SQL security audit events.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Synapse/workspaces,SynapseRbacOperations,Synapse RBAC operations.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Synapse/workspaces,IntegrationPipelineRuns,Integration pipeline runs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Synapse/workspaces,IntegrationActivityRuns,Integration activity runs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Synapse/workspaces,GatewayApiRequests,Synapse Gateway API requests.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Synapse/workspaces,BuiltinSqlReqsEnded,Built-in SQL pool requests ended.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Databricks/workspaces,accounts,Accounts audit logs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Databricks/workspaces,clusters,Clusters audit logs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Databricks/workspaces,notebook,Notebook audit logs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Databricks/workspaces,jobs,Jobs audit logs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Databricks/workspaces,databrickssql,Databricks SQL audit logs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Kusto/clusters,Command,Command logs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Kusto/clusters,Query,Query logs.,High volume,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Kusto/clusters,TableDetails / TableUsageStatistics,Table details and usage statistics.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Logic/workflows,WorkflowRuntime,Logic App workflow runtime logs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Search/searchServices,OperationLogs,Search service operation logs.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.SignalRService/SignalR,AllLogs / ConnectivityLogs / MessagingLogs,Connectivity and messaging logs.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Cdn/profiles,AzureCdnAccessLog,CDN access logs.,High volume,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Network/loadBalancers,LoadBalancerProbeHealthStatus,Load balancer probe health status.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Devices/IotHubs,Connections / DeviceTelemetry / C2DCommands / DeviceJobs / FileUploadOperations / Routes / D2CTwinOperations / C2DTwinOperations,IoT Hub device and cloud-to-device operational logs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.RecoveryServices/vaults,AzureBackupReport / AzureSiteRecoveryJobs / AzureSiteRecoveryEvents,Backup and Site Recovery job/event logs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.App/managedEnvironments,ContainerAppConsoleLogs,Container Apps console logs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.App/managedEnvironments,ContainerAppSystemLogs,Container Apps system logs.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.App/managedEnvironments,ContainerAppHTTPLogs,Container Apps HTTP logs.,High volume,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.MachineLearningServices/workspaces,AmlComputeClusterEvent,AML compute cluster events.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.MachineLearningServices/workspaces,AmlComputeJobEvent,AML compute job events.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.MachineLearningServices/workspaces,AmlRunStatusChangedEvent,AML run status change events.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.MachineLearningServices/workspaces,ModelsChangeEvent / ModelsReadEvent,Model registry change/read events.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.HDInsight/clusters,Hadoop / Spark / Kafka / HBase related,HDInsight service logs -- the specific categories available vary by cluster type.,High volume,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Cache/redisEnterprise/databases,AllLogs / audit related,Redis Enterprise logs.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Batch/batchAccounts,ServiceLog / BatchAccountLogs,Batch service and account logs.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
